ID,Answer
0,烏茲別克
1,大量放射性元素衰變加熱所形成
2,世界高層建築與都市人居學會
3,2008年
4,中國
5,溫州人
6,索馬利亞
7,科德爾·赫爾
8,哈爾濱鐵路局
9,「毛主義」
10,文化教育界高級人士
11,豐臣秀吉
12,蘋果公司
13,1962年世界盃
14,韓國
15,喬治·居維葉
16,鎮壓福建范汝為之亂不力
17,蔬菜
18,「惠潮之民多與鄭氏相通」
19,羅馬人
20,京杭大運河
21,1949年
22,董必武
23,張學良
24,五
25,仔細觀察大自然
26,狗
27,葡萄牙
28,873人
29,立法
30,光傳播的路徑是光以最短時間通過的路徑
31,航空母艦
32,高雄市
33,楊浦區
34,查理曼
35,蒙德極小期
36,給予印度人在中央及省級立法院有限的權力
37,馬祖
38,臺北縣眷村文化節
39,研究
40,西方商業模式
41,第7名
42,推古天皇
43,機器人系列
44,《煙臺條約》
45,牡丹江
46,中山
47,瑞士
48,[SEP]蒙古東北部地區
49,三成
50,學院功績獎
51,德國
52,1000萬
53,岩石圈
54,1500年
55,二十世紀八十年代
56,與漢人通婚
57,哈拉爾德看台重建
58,中俄羅斯高地
59,1961年10月
60,1275年
61,基督教
62,縣市
63,83.4%
64,東京
65,裴存藩
66,「向北發展，向南防禦」
67,桓那部
68,香港
69,庚子賠款
70,南極
71,土耳其
72,中華人民共和國政府
73,都市計畫
74,心臟病
75,1984年
76,工業原料
77,徐達
78,公元245年初
79,回[UNK]部落
80,德國統一社會黨
81,足協盃
82,中國移動通信
83,儒略二世
84,梅鐸
85,伽利略
86,認為耶穌會妨礙他們的殖民主義行為
87,班傑明·富蘭克林
88,大克羅埃西亞主義
89,北高加索
90,洛杉磯湖人
91,成都
92,漢斯·艾斯勒
93,巴克萊中心
94,中國四大古橋
95,mosaic
96,公路網絡
97,2位
98,馬提阿利
99,伊斯蘭教
100,窩闊台汗國
101,多市政府自行興建了數條市級高速公路
102,上海學府中央區
103,大氣圈
104,解除戰地政務
105,布拉格之春
106,袁世凱
107,少女模特兒
108,[SEP]本島總面積
109,1827年
110,阿里烏教派
111,保護勞動者的合法權益
112,1988年
113,食物中毒
